Player,Presenze,Riusciti,%,score
Olivier Giroud,7,3,0.6,0.6272335818508403
Harry Maguire,7,3,0.6,-0.3066150224044959
Ivan Rakitić,7,6,0.6,-0.3775233429526377
Antoine Griezmann,7,9,0.6428571428571429,0.6813898574675629
Kylian Mbappé Lottin,7,29,0.5576923076923077,-1.6382928499481246
Luka Modrić,7,16,0.8421052631578947,6.268387808788631
N''Golo Kanté,7,5,0.625,-0.05050760348044436
Lucas Hernández Pi,7,6,0.5,-1.074464668798779
Raphaël Varane,7,1,0.5,-0.3669064748201438
Andrej Kramarić,7,6,0.6,1.2415573985153487
Ivan Perišić,7,4,0.6666666666666666,0.6239113093590766
Jan Vertonghen,6,2,1.0,1.293548387096774
Axel Witsel,6,3,0.75,0.7425576519916142
Marcus Rashford,6,10,0.625,2.030276105693477
Kevin De Bruyne,6,8,0.7272727272727273,2.9388667244859263
Ante Rebić,6,19,0.8636363636363636,11.182692948889619
Eric Dier,6,1,0.3333333333333333,-1.356521739130435
Raheem Sterling,6,13,0.5652173913043478,-2.149410155593967
Marcelo Brozović,6,0,0.0,-2.0
Ivan Strinić,6,5,0.5555555555555556,-0.7334657398212514
Šime Vrsaljko,6,1,0.25,-2.0615384615384618
Harry Kane,6,2,0.4,-1.7871345029239765
Romelu Lukaku Menama,6,5,0.5,-1.3354738732421216
Dries Mertens,6,0,0.0,-1.0
Hugo Lloris,6,0,0.0,-1.0
Jesse Lingard,6,7,0.6363636363636364,0.39376521662688957
Kieran Trippier,6,7,0.875,4.66359967694585
Mario Mandžukić,6,3,1.0,1.694758478931141
Nabil Fekir,6,5,0.5555555555555556,-0.1901165026284526
Eden Hazard,6,28,0.6666666666666666,4.333791454022085
Nacer Chadli,6,6,0.6,1.120240235523358
Paul Pogba,6,8,0.6153846153846154,-0.4663921301619498
Samuel Yves Umtiti,6,2,1.0,1.173538665341944
Benjamin Pavard,6,0,0.0,-1.0
Mário Figueira Fernandes,5,1,0.2,-3.366906474820144
Daler Kuzyaev,5,3,0.75,1.0384615384615383
Fyodor Smolov,5,6,0.6666666666666666,1.232009128004003
Corentin Tolisso,5,1,0.3333333333333333,-1.3582089552238807
Emil Peter Forsberg,5,6,0.6,-0.9769135325539842
Albin Ekdal,5,9,0.8181818181818182,2.9050855827012185
Ludwig Augustinsson,5,1,0.3333333333333333,-1.3018867924528301
Andreas Granqvist,5,2,1.0,1.0378965296998084
Denis Cheryshev,5,5,0.7142857142857143,1.4693004044154687
Artem Dzyuba,5,4,0.5,-0.871885620004111
Aleksandr Samedov,5,4,0.6666666666666666,0.674511148653025
Marouane Fellaini-Bakkioui,5,3,1.0,1.7074471754075367
Roman Zobnin,5,7,0.7777777777777778,2.258751393534002
Thomas Meunier,5,4,0.6666666666666666,0.8687884294183503
Ola Toivonen,5,1,0.2,-3.356521739130435
Mateo Kovačić,5,4,0.5714285714285714,-0.3301636765808228
Blaise Matuidi,5,0,0.0,-2.0
Marcus Berg,5,0,0.0,-1.0
Viktor Claesson,5,5,0.45454545454545453,-3.182475279425312
Jordan Brian Henderson,5,0,0.0,-1.0
Neymar da Silva Santos Junior,5,29,0.6744186046511628,5.951817238841862
Matías Vecino Falero,5,2,1.0,0.8100570926657883
Rodrigo Bentancur Colmán,5,5,0.625,1.18927467231409
Nahitan Michel Nández Acosta,5,3,0.42857142857142855,-2.184020657704868
Luis Alberto Suárez Díaz,5,6,0.42857142857142855,-3.8875609467385193
Kyle Walker,5,6,0.8571428571428571,1.6250565355042967
Néstor Fernando Muslera Micol,5,0,0.0,-1.0
Cristian Gabriel Rodríguez Barrotti,5,1,0.5,-0.46376811594202894
Lucas Torreira Di Pascua,5,1,0.25,-2.3582089552238807
Diego Roberto Godín Leal,5,2,0.6666666666666666,0.24179104477611923
Gabriel Fernando de Jesus,5,11,0.6470588235294118,2.282988053863893
Danny Rose,5,5,0.7142857142857143,1.6310612597066438
Willian Borges da Silva,5,12,0.8,3.8751258318700055
